Azul é vermelho;0
todos coloridos são pretos;0
o sol é quente;1
a pedra é mole;0
As pessoas podem voar;0
Os cachorros podem voar;0
As vacas podem voar;0
Todas as pessoas nascem com 30 dedos;0
As pessoas nascem das pedras;0
O Papai Noel é da Páscoa;0
O Coelhinho da Páscoa é do Natal;0
O dia tem 50 horas;0
A conta 2+2 = 4;1
A conta 1 +1 = 3;0
O pé de laranja dá  maça;0
Um quadrado tem 3 pontas;0
Um triângulo tem 5 pontas;0
A palavra  ROSA tem 5 letras;0
Vermelho + amarelo dá  azul;0
a capital do Rio Grande do Sul é Rio Grande;0
o mês tem 40 dias;0
o ano tem 500 dias;0
o fogo é frio;0
o gelo é quente;0
o Papai Noel é do Natal;1
o Coelhinho da Páscoa é da Páscoa;1
o dia tem 24 horas;1
O pé de laranja dá  laranjas;1
Um quadrado tem 4 pontas;1
Um triângulo tem 3 pontas;1
A palavra ROSA tem 4 letras;1
vermelho + amarelo dá a laranja;1
A capital do Rio Grande do Sul é Porto Alegre;1
Em dias de sol, o céu é azul;1
O fogo é quente;1
O gelo é gelado;1
Os portugueses são europeus;1
As pedras são moles;0
o sol é frio;0
o oceano tem peixes;1
os peixes voam;0
VERDADEIRO;1
FALSO;0
